symbol,timestamp,interval,open,high,low,close,volume
AAPL,2025-11-03T11:56:23.605771,tick,270.8,270.8,270.8,270.8,41.0
AAPL,2025-11-03T11:56:31.288608,tick,270.76,270.76,270.76,270.76,1.0
AAPL,2025-11-03T11:56:33.369202,tick,270.76,270.76,270.76,270.76,1.0
AAPL,2025-11-03T11:57:03.778465,tick,270.76,270.76,270.76,270.76,2.0
AAPL,2025-11-03T11:57:03.779035,tick,270.76,270.76,270.76,270.76,6.0
AAPL,2025-11-03T11:57:03.779036,tick,270.76,270.76,270.76,270.76,12.0
AAPL,2025-11-03T11:57:03.779090,tick,270.76,270.76,270.76,270.76,5.0
AAPL,2025-11-03T11:57:03.779097,tick,270.76,270.76,270.76,270.76,3.0
AAPL,2025-11-03T11:57:03.779122,tick,270.76,270.76,270.76,270.76,53.0
AAPL,2025-11-03T11:57:03.779149,tick,270.76,270.76,270.76,270.76,1.0
AAPL,2025-11-03T11:57:03.779175,tick,270.76,270.76,270.76,270.76,4.0
AAPL,2025-11-03T11:57:03.838447,tick,270.74,270.74,270.74,270.74,7.0
AAPL,2025-11-03T11:57:03.892464,tick,270.71,270.71,270.71,270.71,10.0
AAPL,2025-11-03T11:57:03.892479,tick,270.7,270.7,270.7,270.7,16.0
AAPL,2025-11-03T11:57:04.171633,tick,270.7,270.7,270.7,270.7,23.0
AAPL,2025-11-03T11:57:04.171665,tick,270.7,270.7,270.7,270.7,86.0
AAPL,2025-11-03T11:57:10.102400,tick,270.76,270.76,270.76,270.76,1.0
AAPL,2025-11-03T11:57:11.196724,tick,270.76,270.76,270.76,270.76,4.0
AAPL,2025-11-03T11:57:11.196725,tick,270.76,270.76,270.76,270.76,30.0
AAPL,2025-11-03T11:57:11.196726,tick,270.79,270.79,270.79,270.79,16.0
AAPL,2025-11-03T11:57:24.820505,tick,270.77,270.77,270.77,270.77,9.0
AAPL,2025-11-03T11:57:26.683357,tick,270.79,270.79,270.79,270.79,9.0
AAPL,2025-11-03T11:57:26.683366,tick,270.79,270.79,270.79,270.79,11.0
AAPL,2025-11-03T11:57:30.750850,tick,270.78,270.78,270.78,270.78,18.0
AAPL,2025-11-03T11:57:32.726570,tick,270.77,270.77,270.77,270.77,4.0
AAPL,2025-11-03T11:57:35.848007,tick,270.77,270.77,270.77,270.77,43.0
AAPL,2025-11-03T11:57:39.081438,tick,270.76,270.76,270.76,270.76,1.0
AAPL,2025-11-03T11:57:39.081816,tick,270.75,270.75,270.75,270.75,2.0
AAPL,2025-11-03T11:57:54.953671,tick,270.78,270.78,270.78,270.78,2.0
AAPL,2025-11-03T11:57:54.953708,tick,270.78,270.78,270.78,270.78,1.0
AAPL,2025-11-03T11:57:54.954052,tick,270.78,270.78,270.78,270.78,1.0
AAPL,2025-11-03T11:58:06.221087,tick,270.78,270.78,270.78,270.78,1.0
AAPL,2025-11-03T11:58:06.221090,tick,270.8,270.8,270.8,270.8,8.0
AAPL,2025-11-03T11:58:12.998483,tick,270.71,270.71,270.71,270.71,5.0
AAPL,2025-11-03T11:58:16.436941,tick,270.78,270.78,270.78,270.78,1.0
AAPL,2025-11-03T11:58:26.982930,tick,270.78,270.78,270.78,270.78,1.0
AAPL,2025-11-03T11:58:26.982933,tick,270.79,270.79,270.79,270.79,11.0
AAPL,2025-11-03T11:58:26.983048,tick,270.78,270.78,270.78,270.78,9.0
AAPL,2025-11-03T11:58:26.983326,tick,270.78,270.78,270.78,270.78,1.0
AAPL,2025-11-03T11:58:54.147986,tick,270.76,270.76,270.76,270.76,1.0
AAPL,2025-11-03T11:58:57.203039,tick,270.78,270.78,270.78,270.78,10.0
AAPL,2025-11-03T11:59:10.983468,tick,270.78,270.78,270.78,270.78,5.0
AAPL,2025-11-03T11:59:35.599114,tick,270.78,270.78,270.78,270.78,3.0
AAPL,2025-11-03T11:59:35.600174,tick,270.79,270.79,270.79,270.79,30.0
